LR    , Batch Size, Num Epochs, Augmented, Class Weights, Fine Tune Layers, Best Epoch, Stop Epoch, Train Loss          , Val Loss            , Val Accuracy      , Val Precision     , Val Recall
0.1   ,         32,         30, False    , none         ,                0,          1,          6, 0.9525005190680936  , 0.5402776695209965  , 0.9559386973180076, 0.9749009247027741, 0.9647058823529412
0.001 ,         32,         30, False    , none         ,                0,         11,         16, 0.08412070521899989 , 0.09373401712174668 , 0.9645593869731801, 0.9727272727272728, 0.9790849673202614
0.0001,         32,         30, False    , none         ,                0,         29,         29, 0.10346708281804587 , 0.11496086537160656 , 0.9530651340996169, 0.962532299741602 , 0.9738562091503268
0.08  ,         32,        100, False    , none         ,                0,          4,          9, 0.7143712337988755  , 0.35773246781645635 , 0.9683908045977011, 0.9841269841269841, 0.9725490196078431
0.001 ,         32,        100, True     , none         ,                0,         12,         22, 0.12977723655013637 , 0.11893036950266722 , 0.9559386973180076, 0.9736495388669302, 0.9660130718954248
0.001 ,         32,        100, True     , "[1.0, 1.0]" ,                0,         27,         33, 0.12243503366262858 , 0.1088909562112707  , 0.9588122605363985, 0.9800531914893617, 0.9633986928104575
0.001 ,         32,          2, False    , "[2.0, 1.0]" ,                0,          1,          1, 0.166295389012071   , 0.15356671177979672 , 0.9386973180076629, 0.9730094466936572, 0.9424836601307189
0.0001,         32,         30, False    , "[2.0, 1.0]" ,                1,          6,         11, 5.62411690172452e-05, 0.0395243475931786  , 0.9885057471264368, 0.9934469200524246, 0.9908496732026144
0.001 ,         32,          2, True     , "[2.0, 1.0]" ,                1,          0,          1, 0.16015115455646095 , 0.06464694649912417 , 0.9741379310344828, 0.9959677419354839, 0.9686274509803922
0.001 ,         32,         30, True     , "[2.0, 1.0]" ,                1,         15,         20, 0.03904166690841271 , 0.031179141105068   , 0.9932950191570882, 0.9934895833333334, 0.9973856209150327
0.0001,         32,         30, True     , "[2.0, 1.0]" ,                1,          9,         14, 0.03914546371101693 , 0.03292327411790294 , 0.9865900383141762, 0.9934296977660972, 0.9882352941176471
0.0001,         32,         30, True     , "[2.0, 1.0]" ,                2,          9,         14, 0.03792258014881145 , 0.019290929891047363, 0.9913793103448276, 0.9986807387862797, 0.9895424836601308
0.001 ,         32,         30, False    , "[2.0, 1.0]" ,                0,         11,         16, 0.09395837978609191 , 0.10467669740319252 , 0.9578544061302682, 0.9825970548862115, 0.9594771241830066
